TB1
5.0,0,16
5.8,1,100
10.0,1,16
10.1,1,15
25.0,1,2
27.0,0,23
30.2,1,39
32.0,0,24
60.0,0,38
60.2,0,43
90.0,0,21
90.2,0,23
95.2,0,24
119.8,1,2
120.0,0,22
124.8,1,39
134.0,0,15
134.2,0,2
134.4,0,51
134.6,0,35
134.8,1,104
TB2
0.2,0,34
0.4,0,50
3.0,1,98
3.4,3,54
4.0,0,1
4.3,3,83
4.5,1,97
5.5,1,79
TB3
0.1,1,18
0.4,3,13
0.5,3,49
0.6,3,56
0.8,1,23
1.0,0,53
1.1,0,6
1.2,3,10
1.6,3,59
1.8,3,23
2.2,3,9
2.4,0,9
2.6,0,29
277.7,3,97
TB4
0.1,3,12
0.2,3,43
0.3,3,80
0.5,3,82
0.7,3,98
3.5,0,12
3.7,0,5
3.9,3,29
10.0,0,3
80.2,3,79
5085.5,3,80
5454.0,3,28
5472.5,3,29
5497.5,3,79
10452.1,3,58
10462.1,3,82
10774.1,3,59
11107.0,3,80
11229.7,3,79
13860.5,3,80
14050.5,3,79
16638.5,3,80
END
